yorum,toxic
İlginizi çeken her alanda kendinizi geliştirebileceğiniz çiftçilik yaptığınız mükemmel bir oyun,0
Genelde bu tarz oyunlardan çabuk sıkılırım ama bu oyun gerçekten alanında mükemmel,0
Oynanışı çok güzel fakat oynanışından daha da güzel olan şey müzikleri. Her mevsim ayrı müzikler var ve gerçekten insanı oynamaya teşvik ediyor.,0
Her şeyiyle 10/10.,0
Ali babanın çiftliğinin devri bitti kardeş benim çiftliğin devri başlıyor,0
GÜZEL OYUN ALIN İŞTE,0
başında saatlarinizi harcayabileceğiniz hoş grafikli güzel bir oyun,0
Birden keşke ben de burda olsaydım diyebileceğiniz oyun,0
Farm olsun NPC olsun hikaye olsun çok güzel oyun,0
Bu tarz oyunları sevenlerin kütüphanesinde bulundurması gerekiyor,0
24 lirayı her bir kuruşuna kadar hakediyor çok fazla bir bilgiye de yok,0
Multiplayer gelince dadından yinmez,0
Kışın bitki yetiştiremiyoruz oysaki pırasa falan hepsi kış sebzesi,0
bağımlılık yapıyor,0
Gözü kapalı alın hatta gözünüz yoksa bile alın,0
Oyun size her türlü oynattırıyor,0
RPG çiftçilik olarak tanımlayabileceğimiz bir oyundur,0
oyun bence çok güzel fakat online arkadaşlarınla oynana bilseydi dahada güzel olurdu,0
Oyununu daha bitirmeme rağmen 30 saatlik oynamamda sıkılmadım,0
Oynaması cidden aşırı zevkli,0
Hayatımda oynadığım hiç bir oyunda bu kadar bol kahkaha atmadım,0
Sıkılmadan oynadığım nadir oyunlardan biri,0
Sürükleyici bir hikayesi olan hikaye bittikten sonra bile oynamaya devam edeceğiniz harika bir oyun,0
Oyunu alacaksanız indirimdeyken almanızı öneririm,0
105 tl vermeye değmez,0
Verilen parayı hak ediyor,0
süper. eğlenceli. oyunu çok beğendim,0
Mükemmel oyun :D,0
Oğlum ne yaptınız lan :D Çok iyi ya. ,0
Oyunu alın oynayın çok eğlenirsiniz,0
11 saatte bitirdim fakat 75 tl vermeye değdiğini düşünmüyorum ben,0
Oyun çok güzel tavsiye ederim ? BEST GAME EVER,0
Dünyanın en saykopatik ve komik oyunu ,0
Harikaydı. Hikayesi atmosferi espirileri... Gerçekten de güzeldi,0
Çok iyi bir oyun,0
diziyi izlemediğim için hiçbi şey anlamadım ama güzel gibi duruyor hoşuma gitti vızzzzzuah,0
Oyun baya güzel ama hani 20 saatlik bir oyuna 60 dolar çok,0
Muhabbetin dibine vuran bir oyun aşırı eğlenceli :),0
bağımlılık yaptı beyler 10 üzerinden 11,0
Dünyanın en trol oyunu. Hem rpg ögeleri var hemde komedi var çok eğlenceli bir oyun.,0
2000 li 90 lı yıllarda çocukluk yaşamış kişilere bu oyun hiç yabancı gelmeyecek çünkü sizden parçalar var. iyi oyunlar,0
tüm sınıflarda oyunu bitirmek üzereyim çok güzel bir oyun bu!,0
biraz pahalı bir oyun ama kesinlikle alın south parkı seviyorsanız 10/10,0
Mod desteğini aptalca iptal eden oyuna yorumum negatif...,1
Bu kadar salakça bir şey görmedim,1
Sanki loading ekranı satın aldım aq,1
Kesinlikle anlınması gerekilen bir oyun,0
oyunu herkeze tavsiye ederim kessinlikle harika bir RPG oyundaki göndermelerde insanı eğlendiriyor bence parasının her kuruşunu hakediyor,0
belki 75 tl hak etmeyebilir oyun ama indirimde aldığınızda yaklaşık 20 tl civari bişey oluyor,0
espriler beni benden aldı...,0
Oyun tamamıyla harika! çizgifilmi yaşıyorsunuz resmen,0
gerçekten zevli bir oyun 10/10 zaman geçtiği anlaşılmıyor indrimde alın :),0
Mütüş Mütüş Mütüş,0
Oyunu bitirdim fiyatına değer ama isterseniz torrent'ten de yükleyebilirsiniz,0
Oyun o kadar sarıyo ki yıllarca izlediğimiz South Park'ı evleri dahil dolaşabiliyorsunuz ve bir sürü easter egg var,0
Leşşşşşşşşşşşş,1
Oyunun ağzına sıçtılar artık oynanmaz,1
Gerçekten çok güzel en sevdiğim oyunlardan biri,0
Oyun sıratabanlı türündeki en iyi oyunlardan olabilir,0
Bazen komik ve iğrenç olabiliyor. Genellikle de cinsellik oluyor,0
ne denebilirki? OYUN MÜTHİŞ!,0
Nefis bir oyun,0
Eğlenceli online savaş simulasyonu,0
Eski oyunun tadı olmasa da oynanabilir tabi +100 ping ile oynayabilirseniz,0
Süper Adamım !!! alın ulan,0
Vietnam filmleri ve oyunlarını seviyorsanız bu oyun tam size göre,0
Amerikalı sikme simulasyonu,0
Mükemmel ötesi gerçekçilik mükemmel ötesi zorluk,0
Oyuna yeni başlayınca inanılmaz zor çünkü sürekli ölüyorsun,0
Başta zevk alamayıp direk MP girdiğinizde öldüğünüz bir yapım,0
öneriyorum bu oyunu önermem için bana para verdiler,0
Başta sıkılabilirsiniz ama alışınca acayip zevk alıyorsun,0
Taktik ve takım oyunu gerektiriyor. Ayrıca helikoper sürmek aşırı eğlenceli :),0
Gayet hoş ama bazı hatalar var düzeltilmesi lazım,0
gerçekçi fps,0
Oyunu 1 saat kadar oynayıp iade ettim ancak sakın ha yanlış anlaşılmasın oyun benim stilime hitap eden bir oyun değildi ancak kesinlikle bu tarzı sevenler için şahane bir oyun insurgency den 10 kat daha iyi,0
ölme simulatoru yapmıssınız laaaa annenizi sikeyim,1
realizm arayanlara ilaç gibi gelecek ama tek sıkıntısı gereksinimleri,0
Biraz ısındıktan sonra saatlerce zevkle oynayacağınızdan eminim,0
Oyun beyin istiyo oda bende yok,0
Yeri doldurulamayacak bir oyun. Ne ararsanız var kesinlikle ölmeden önce oynayın,0
Çok hoş bir atmosferi var alıştıktan sonra gübam gübam,0
zor ama güzel oyun gebere gebere alıstım oyuna artık :),0
Grafikler çok iyi boyutuda fazla değil fakat oyun zor onu bunu öldüreyim havasına giriyorsunuzda öyle olmuyor,0
Takım arkadaşımı vurup sorry yazmak geçiyor tüm oyun ama güzel :D,0
OYNAYABİLECEĞİNİZ EN GÜZEL OYUN,0
Bir oyundan daha fazlası...,0
Ana menü müziği çok gaza getiriyo,0
OYUNU FREE OLARAK OYNAYAN BİRİ OLARAK HER OYUNUN BİR BEDELİ OLDUGU GİBİ BUNUNDA BEDELİ MAKUL DEGERDE INSURGENCY TARZI SAVAŞ OYUNLARI SEVIYORSANIZ KAÇIRMAYIN DERİM,0
Vuruş hissinin bu kadar iyi olması ve dungeon farm hissi çok hoş. Kesinlikle kaçırılmaması gereken bir oyun,0
Ohooooooo hala yorumlara bakıyorsun git al hadi bekliyom,0
50 tlye alınabilecek en iyi oyunlardan biri,0
ilk oyuna gore cok degisik bir sey yapmıslar. mantik ayni fare kes boss kes grim ve tome topla oyunu bitir. Fakat ilk oyuna göre en büyük gelismesi alt classlar ve skill sistemi bu yeni gelisme tamamiyle oyunu baska bir seviyeye cikariyor.Rpg tarzi seviyorsaniz alin türk toplulugu daha da artsin kesinlikle memnun olucaksiniz.,0
Sağlam grafiği vuruş hissiyatı ve stres atmak için güzel bir oyun ve uzun süre sıkmayacak türden bir oyun alırsanız pişman olmazsınız.,0
Özellikle kafadar arkadaşları ile beraber oyun oynamayı seven kişiler için çok güzel bir oyun olmuş. Ayrıca FRP oynamış ve Warhammer evrenin hakim arkadaşların bu oyunu kaçırmasın derim İyi eğlenceler,0
Ben pek beğenmedim ama yine de denenmesi gereken bir oyun,0
Refleks ve haritayı ezberleme gereksinimi olan dolayısıyla beyin gerektiren bir oyun. Bende yok,0
nerden baksan güzel oyun ha,0
Aç arkaya bir müzik başla oynamaya. Sırf müzik dinlerken oynamak için aldım oyunu :D Çok sarıyor CS yüzünden stres olmuşken gir kafa dağıt :D,0
Oyun çok iyi....,0
ulan çok güzel ya :D,0
Bana bu oyunu alan osmanı tebrik ediyor ve sikiyorum,1
Arkadaşlarınızla vakit geçirebileceğiniz zaman öldüren bir oyun 9/10,0
Kademeli zorluklar ve basit yapısıyla iyi vakit geçirmek için ideal. ben eğleniyorum,0
Oynayacak arkadaş çevreniz varsa alın yoksa önermiyorum 24 liraya değmez indirimdeyken 6 lira diye almıştım,0
4 arkadaş alın arada oynamak için uygun kafa dağıtmak için gerçekten keyif veriyor,0
Çok eğlenceli tavsiye ederim,0
Gayet güzel ve eğlenceli bir oyun hele ki arkadaşlarınızla oynarsanız,0
ÇOK ÇOK GÜZEL BİR OYUN OYUN TÜRKÇE OLMASI ÇOK ÇOK DAHA İYİ HERKESE TAVSİYE EDERİM...,0
Oynaması gerçekten zevkli bir platform oyunu. Arkadaşlarınızla beraber oynadığınızda eğleneceğinizden emin olabilirsiniz. Ancak uzun süre oynadıktan sonra sıkılabilirsiniz. Bu yüzden arada oynayabileceğiniz küçük oyun havasında bir şey olarak nitelendirebilirim.,0
Oyun kolu varsa klavyeyle oynamayın ama kesinlikle arkadaşlarınızla speedrunners partisi yapın! Ne kadar eğleneceğinizi anlatamam :),0
Maç esnasında en fazla 3 rakibiniz oluyor ve 4 kişi bir yarışa başlıyorsunuz amacınız rakiplerinizi geride bırakarak en hızlı olmak.Yarış temalı bu oyunda Türk ler fazla yok o yüzden maç bulma süreniz uzayacaktır çünkü oyun en yakınınızdaki oyuncularla eşleştiriyor sizleri.Oyundaki hızınızı nasıl arttırabiliceğinizi öğretecek rakibler karşınıza çıkartıyor onların nasıl oynadıklarını izleyerek kendinizi geliştiriyorsunuz ve oyunu sürekli oynayasınız geliyor bunun yanı sıra oynadığınız haritayıda bilmek çok önemli yoksa dikenleri yada lazerleri boylayabilirsiniz. ,0
Eğer bu oyunu alırsanız ki tavsiye ediyorum başınıza gelebilecek her türlü ibneliklere hazırsınız demektir :D,1
Gayet hoş bir oyun. Hikaye modu aman aman olmasa da arkadaşlar ile oynayınca bu eksikliği unutuyorsunuz. Lakin 24 lira vermeye değceğini sanmıyorum. İndirime girince kaçırmayın !,0
BİR OTURUŞTA 10 SAAT OYNADIM ÇOK ZEVKLİ GEÇTİ AMA ARTIK ESKİ ZEVKİ VERMİYOR AMA YİNEDE ARKADAŞLARLA OYNANCAK BİR OYUN,0
Arkadaşlar arasında oynanabilecek bence en eğlenceli keyifli oyun Hadi eyW.,0
[10/9] Arkadaşlarınızla sabaha kadar gayet güzel vakitler geçirebileceğiniz bir oyun. Normal fiyatını haketmeyebilir ama indirimdeyken alın derim,0
Eynadığım en eğlenceli oyunlardan birisi.,0
Son derece güzel ve özgür bir şekilde yarışmak isteyenler için efsane bir oyun çünkü haritalarda kendi yolunuzu çizebilirsiniz.Herkese iyi oyunlar!!,0
Eğlenceli abemm :D :D ,0
hele koşuyorsun işte lo,0
